species	location	sample_name	model	ncount_max	mt_percent	tumor_type	processed	sp_pattern	organism	data_type	method	data_source	unique	CL_or_PDX	harmony_vars	theta_vals
patient	tibia	X00003	BC5	22000	20	primary	yes	nothing	human	three_prime	single_cell	GEO	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	tibia	X00004	BC6	40000	15	primary	yes	nothing	human	three_prime	single_cell	GEO	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	tibia	X00006	BC11	30000	20	primary	yes	nothing	human	three_prime	single_cell	GEO	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	tibia	X00007	BC16	60000	20	primary	yes	nothing	human	three_prime	single_cell	GEO	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	tibia	X00010	BC20	75000	15	primary	yes	nothing	human	three_prime	single_cell	GEO	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	tibia	X00009	BC21	60000	20	primary	yes	nothing	human	three_prime	single_cell	GEO	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	tibia	X00011	BC22	60000	20	primary	yes	nothing	human	three_prime	single_cell	GEO	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	tibia	X00012	OS11	75000	20	primary	yes	nothing	human	three_prime	single_cell	GEO	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	tibia	X00013	OS2	70000	20	primary	yes	nothing	human	three_prime	single_cell	GEO	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	tibia	X00014	OS3	30000	20	primary	yes	nothing	human	three_prime	single_cell	GEO	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	tibia	X00015	OS4	75000	20	primary	yes	nothing	human	three_prime	single_cell	GEO	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	tibia	X00016	OS5	45000	20	primary	yes	nothing	human	three_prime	single_cell	GEO	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	tibia	X00017	OS6	55000	20	primary	yes	nothing	human	three_prime	single_cell	GEO	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	femur	SJOS010929_D1	SJOS010929_D1	5000	10	primary	yes	nothing	human	three_prime	single_nucleus	SJ	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	humerus	SJOS010930_D1	SJOS010930_D1	4000	20	primary	yes	nothing	human	three_prime	single_nucleus	SJ	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	femur	SJOS012409_D1	SJOS012409_D1	6000	15	primary	yes	nothing	human	three_prime	single_nucleus	SJ	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	femur	SJOS013768_D1	SJOS013768_D1	1000	20	primary	yes	nothing	human	three_prime	single_nucleus	SJ	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	femur	SJOS013768_D1_repB	SJOS013768_D1_repB	2000	20	primary	yes	nothing	human	three_prime	single_nucleus	SJ	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	tibia	SJOS013769_D1	SJOS013769_D1	3500	10	primary	yes	nothing	human	three_prime	single_nucleus	SJ	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	femur	SJOS016015_D1	SJOS016015_D1	5000	15	primary	yes	nothing	human	three_prime	single_nucleus	SJ	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	tibia	SJOS016016_D1	SJOS016016_D1	1000	20	primary	yes	nothing	human	three_prime	single_nucleus	SJ	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	femur	SJOS063819_D2	SJOS063819_D2	5000	20	primary	yes	nothing	human	three_prime	single_nucleus	SJ	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	femur	SJOS030101_D1	SJOS030101_D1	2000	20	primary	yes	nothing	human	three_prime	single_nucleus	SJ	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	femur	SJOS030279_D1	SJOS030279_D1	1500	20	primary	yes	nothing	human	three_prime	single_nucleus	SJ	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
patient	femur	SJOS063824_D1	SJOS063824_D1	1500	20	primary	yes	nothing	human	three_prime	single_nucleus	SJ	patient_prim	patient	"sample_name,method,data_source,model"	3/3/3/3
