"species" "location" "sample_name" "model" "ncount_max" "mt_percent" "tumor_type" "processed" "sp_pattern" "organism" "data_type" "method" "data_source" "unique" "CL_or_PDX"
"1" "patient" "tibia" "X00003" "BC5" 22000 20 "primary" "yes" "nothing" "human" "three_prime" "single_cell" "GEO" "patient_prim" "patient"
"2" "patient" "tibia" "X00004" "BC6" 40000 15 "primary" "yes" "nothing" "human" "three_prime" "single_cell" "GEO" "patient_prim" "patient"
"3" "patient" "tibia" "X00006" "BC11" 30000 20 "primary" "yes" "nothing" "human" "three_prime" "single_cell" "GEO" "patient_prim" "patient"
"4" "patient" "tibia" "X00007" "BC16" 60000 20 "primary" "yes" "nothing" "human" "three_prime" "single_cell" "GEO" "patient_prim" "patient"
"5" "patient" "tibia" "X00010" "BC20" 75000 15 "primary" "yes" "nothing" "human" "three_prime" "single_cell" "GEO" "patient_prim" "patient"
"6" "patient" "tibia" "X00009" "BC21" 60000 20 "primary" "yes" "nothing" "human" "three_prime" "single_cell" "GEO" "patient_prim" "patient"
"7" "patient" "tibia" "X00011" "BC22" 60000 20 "primary" "yes" "nothing" "human" "three_prime" "single_cell" "GEO" "patient_prim" "patient"
"8" "patient" "tibia" "X00012" "OS11" 75000 20 "primary" "yes" "nothing" "human" "three_prime" "single_cell" "GEO" "patient_prim" "patient"
"9" "patient" "tibia" "X00013" "OS2" 70000 20 "primary" "yes" "nothing" "human" "three_prime" "single_cell" "GEO" "patient_prim" "patient"
"10" "patient" "tibia" "X00014" "OS3" 30000 20 "primary" "yes" "nothing" "human" "three_prime" "single_cell" "GEO" "patient_prim" "patient"
"11" "patient" "tibia" "X00015" "OS4" 75000 20 "primary" "yes" "nothing" "human" "three_prime" "single_cell" "GEO" "patient_prim" "patient"
"12" "patient" "tibia" "X00016" "OS5" 45000 20 "primary" "yes" "nothing" "human" "three_prime" "single_cell" "GEO" "patient_prim" "patient"
"13" "patient" "tibia" "X00017" "OS6" 55000 20 "primary" "yes" "nothing" "human" "three_prime" "single_cell" "GEO" "patient_prim" "patient"
"14" "patient" "femur" "SJOS010929_D1" "SJOS010929_D1" 5000 10 "primary" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_prim" "patient"
"15" "patient" "humerus" "SJOS010930_D1" "SJOS010930_D1" 4000 20 "primary" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_prim" "patient"
"16" "patient" "femur" "SJOS012409_D1" "SJOS012409_D1" 6000 15 "primary" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_prim" "patient"
"17" "patient" "femur" "SJOS013768_D1" "SJOS013768_D1" 1000 20 "primary" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_prim" "patient"
"18" "patient" "femur" "SJOS013768_D1_repB" "SJOS013768_D1_repB" 2000 20 "primary" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_prim" "patient"
"19" "patient" "tibia" "SJOS013769_D1" "SJOS013769_D1" 3500 10 "primary" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_prim" "patient"
"20" "patient" "femur" "SJOS016015_D1" "SJOS016015_D1" 5000 15 "primary" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_prim" "patient"
"21" "patient" "tibia" "SJOS016016_D1" "SJOS016016_D1" 1000 20 "primary" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_prim" "patient"
"22" "patient" "femur" "SJOS063819_D2" "SJOS063819_D2" 5000 20 "primary" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_prim" "patient"
"23" "patient" "femur" "SJOS030101_D1" "SJOS030101_D1" 2000 20 "primary" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_prim" "patient"
"24" "patient" "femur" "SJOS030279_D1" "SJOS030279_D1" 1500 20 "primary" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_prim" "patient"
"25" "patient" "femur" "SJOS063824_D1" "SJOS063824_D1" 1500 20 "primary" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_prim" "patient"
"26" "patient" "humerus" "SJOS031478_D1" "SJOS031478_D1" 3000 10 "primary" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_prim" "patient"
"27" "patient" "femur" "SJOS030272_D1" "SJOS030272_D1" 2000 20 "primary" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_prim" "patient"
"28" "patient" "femur" "SJOS030597_D1" "SJOS030597_D1" 4000 20 "primary" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_prim" "patient"
"29" "patient" "femur" "SJOS063833_D2" "SJOS063833_D2" 5000 10 "primary" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_prim" "patient"
"30" "patient" "tibia" "X00018" "S1" 30000 20 "primary" "yes" "nothing" "human" "three_prime" "single_cell" "GEO" "normal_bone" "patient"
"31" "patient" "tibia" "X00019" "S2" 30000 20 "primary" "yes" "nothing" "human" "three_prime" "single_cell" "GEO" "normal_bone" "patient"
"32" "patient" "tibia" "X00020" "S3" 30000 15 "primary" "yes" "nothing" "human" "three_prime" "single_cell" "GEO" "normal_bone" "patient"
"33" "patient" "tibia" "X00021" "S4" 30000 15 "primary" "yes" "nothing" "human" "three_prime" "single_cell" "GEO" "normal_bone" "patient"
"34" "patient" "lung" "S0058" "clinicalOSA1" 50000 20 "metastatic" "yes" "nothing" "human" "three_prime" "single_cell" "NCH" "patient_mets" "patient"
"35" "patient" "lung" "S0059" "clinicalOSA1" 30000 20 "metastatic" "yes" "nothing" "human" "three_prime" "single_cell" "NCH" "patient_mets" "patient"
"36" "patient" "lung" "X00005" "BC10" 25000 15 "metastatic" "yes" "nothing" "human" "three_prime" "single_cell" "GEO" "patient_mets" "patient"
"37" "patient" "lung" "X00008" "BC17" 45000 20 "metastatic" "yes" "nothing" "human" "three_prime" "single_cell" "GEO" "patient_mets" "patient"
"38" "patient" "lung" "S0217" "clinicalOSA2" 40000 20 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCH" "patient_mets" "patient"
"39" "patient" "lung" "S0218" "clinicalOSA2" 25000 20 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCH" "patient_mets" "patient"
"40" "patient" "lung" "SC069" "clinicalOSA3" 30000 10 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCH" "patient_mets" "patient"
"41" "patient" "lung" "SC072" "clinicalOSA4" 30000 10 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCH" "patient_mets" "patient"
"42" "patient" "lung" "SC073" "clinicalOSA5" 50000 15 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCH" "patient_mets" "patient"
"43" "patient" "lung" "SJOS001108_M1" "SJOS001108_M1" 5500 20 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_mets" "patient"
"44" "patient" "lung" "SJOS001107_M2" "SJOS001107_M2" 20000 15 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_mets" "patient"
"45" "patient" "lung" "SJOS001112_M2" "SJOS001112_M2" 2500 20 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_mets" "patient"
"46" "patient" "lung" "SJOS001132_M1" "SJOS001132_M1" 2000 15 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_mets" "patient"
"47" "patient" "lung" "SJOS001127_M1" "SJOS001127_M1" 2000 20 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_mets" "patient"
"48" "patient" "lung" "SJOS001116_M2" "SJOS001116_M2" 3000 20 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_mets" "patient"
"49" "patient" "lung" "SJOS013768_M1" "SJOS013768_M1" 1500 15 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_mets" "patient"
"50" "patient" "lung" "SJOS063822_A1" "SJOS063822_A1" 1500 20 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_mets" "patient"
"51" "patient" "lung" "SJOS030441_D1" "SJOS030441_D1" 1000 20 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_mets" "patient"
"52" "patient" "lung" "SJOS030645_D2" "SJOS030645_D2" 2500 20 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_mets" "patient"
"53" "patient" "lung" "SJOS030605_D2" "SJOS030605_D2" 1000 20 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_mets" "patient"
"54" "patient" "lung" "SJOS063833_D1" "SJOS063833_D1" 1500 10 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_mets" "patient"
"55" "patient" "lung" "SJOS001105_M1" "SJOS001105_M1" 10000 20 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "SJ" "patient_mets" "patient"
"56" "patient" "lung" "CCDI0094_7977" "CCDI0094_7977" 50000 10 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCI_POB" "patient_mets" "patient"
"57" "patient" "lung" "CCDI0095_7978" "CCDI0095_7978" 60000 15 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCI_POB" "patient_mets" "patient"
"58" "patient" "lung" "CCDI0090_2318" "CCDI0090_2318" 60000 10 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCI_POB" "patient_mets" "patient"
"59" "patient" "lung" "CCDI0048_5864" "CCDI0048_5864" 50000 10 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCI_POB" "patient_mets" "patient"
"60" "patient" "lung" "CCDI0049_5899" "CCDI0049_5899" 50000 15 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCI_POB" "patient_mets" "patient"
"61" "patient" "lung" "CCDI0050_5928" "CCDI0050_5928" 70000 20 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCI_POB" "patient_mets" "patient"
"62" "patient" "lung" "CCDI0051_6547" "CCDI0051_6547" 70000 20 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCI_POB" "patient_mets" "patient"
"63" "patient" "lung" "CCDI0091_3666" "CCDI0091_3666" 70000 10 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCI_POB" "patient_mets" "patient"
