species	location	sample_name	sample_path	model	ncount_max	mt_percent	tumor_type	processed	sp_pattern	organism	data_type	data_source	site_link	pre	unique
patient	tibia1	BC5	BC5	BC5	20000	15	primary	yes	nothing	human	three_prime	GSE152048	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152048/suppl/GSE152048_		patient_prim
patient	tibia2	BC6	BC6	BC6	25000	15	primary	yes	nothing	human	three_prime	GSE152048	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152048/suppl/GSE152048_		patient_prim
patient	tibia3	BC11	BC11	BC11	25000	18	primary	yes	nothing	human	three_prime	GSE152048	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152048/suppl/GSE152048_		patient_prim
patient	tibia4	BC16	BC16	BC16	50000	15	primary	yes	nothing	human	three_prime	GSE152048	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152048/suppl/GSE152048_		patient_prim
patient	tibia5	BC20	BC20	BC20	60000	15	primary	yes	nothing	human	three_prime	GSE152048	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152048/suppl/GSE152048_		patient_prim
patient	tibia6	BC21	BC21	BC21	45000	20	primary	yes	nothing	human	three_prime	GSE152048	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152048/suppl/GSE152048_		patient_prim
patient	tibia7	BC22	BC22	BC22	50000	20	primary	yes	nothing	human	three_prime	GSE152048	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152048/suppl/GSE152048_		patient_prim
patient	tibia8	OS_1	OS11	OS11	50000	18	primary	yes	nothing	human	three_prime	GSE162454	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162454/suppl/GSE162454_RAW.tar	GSM4952363_	patient_prim
patient	tibia9	OS_2	OS2	OS2	45000	20	primary	yes	nothing	human	three_prime	GSE162454	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162454/suppl/GSE162454_RAW.tar	GSM4952364_	patient_prim
patient	tibia10	OS_3	OS3	OS3	25000	20	primary	yes	nothing	human	three_prime	GSE162454	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162454/suppl/GSE162454_RAW.tar	GSM4952365_	patient_prim
patient	tibia11	OS_4	OS4	OS4	50000	18	primary	yes	nothing	human	three_prime	GSE162454	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162454/suppl/GSE162454_RAW.tar	GSM5155198_	patient_prim
patient	tibia12	OS_5	OS5	OS5	30000	18	primary	yes	nothing	human	three_prime	GSE162454	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162454/suppl/GSE162454_RAW.tar	GSM5155199_	patient_prim
patient	tibia13	OS_6	OS6	OS6	40000	18	primary	yes	nothing	human	three_prime	GSE162454	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162454/suppl/GSE162454_RAW.tar	GSM5155200_	patient_prim
patient	tibia14	S1	S1	S1	30000	15	primary	yes	nothing	human	three_prime	GSE169396	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169396/suppl/GSE169396_RAW.tar	GSM5201883_	normal_bone
patient	tibia15	S2	S2	S2	30000	15	primary	yes	nothing	human	three_prime	GSE169396	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169396/suppl/GSE169396_RAW.tar	GSM5201884_	normal_bone
patient	tibia16	S3	S3	S3	30000	15	primary	yes	nothing	human	three_prime	GSE169396	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169396/suppl/GSE169396_RAW.tar	GSM5201885_	normal_bone
patient	tibia17	S4	S4	S4	30000	15	primary	yes	nothing	human	three_prime	GSE169396	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169396/suppl/GSE169396_RAW.tar	GSM5201886_	normal_bone
patient	lung18	S0058	S0058/outs	clinicalOSA1	45000	20	metastatic	yes	nothing	human	three_prime	ours			patient_mets
patient	lung19	S0059	S0059/outs	clinicalOSA1	30000	18	metastatic	yes	nothing	human	three_prime	ours			patient_mets
patient	lung20	BC10	BC10	BC10	20000	15	metastatic	yes	nothing	human	three_prime	GSE152048	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152048/suppl/GSE152048_		patient_mets
patient	lung21	BC17	BC17	BC17	40000	15	metastatic	yes	nothing	human	three_prime	GSE152048	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152048/suppl/GSE152048_		patient_mets
patient	lung22	S0217	S0217	clinicalOSA2	30000	15	metastatic	yes	nothing	human	multiomic	ours			patient_mets
patient	lung23	S0218	S0218	clinicalOSA2	25000	15	metastatic	yes	nothing	human	multiomic	ours			patient_mets
xenograft	tibia24	S0034	S0034/outs	NCHOS7	40000	15	primary	yes	^hg19-	human	three_prime	ours			xeno_prim_human
xenograft	tibia25	S0037	S0037	OS17	75000	20	primary	yes	^hg19-	human	three_prime	ours			xeno_prim_human
xenograft	tibia26	S0052	S0052/outs	143B	40000	20	primary	yes	^hg19-	human	three_prime	ours			xeno_prim_human
xenograft	tibia27	S0042	S0042/outs	NCHOS2	40000	20	primary	yes	^hg19-	human	three_prime	ours			xeno_prim_human
xenograft	tibia28	S0170	S0170	NCHOS4	35000	20	primary	yes	^hg19-	human	multiomic	ours			xeno_prim_human
xenograft	tibia29	S0169	S0169	NCHOS7	30000	20	primary	yes	^hg19-	human	multiomic	ours			xeno_prim_human
xenograft	lung30	S0093	S0093	OS17	40000	20	metastatic	yes	^hg19-	human	three_prime	ours			xeno_mets_human
xenograft	lung31	S0017	S0017/outs	143B	60000	18	metastatic	yes	^hg19-	human	three_prime	ours			xeno_mets_human
xenograft	lung32	S0019	S0019/outs	143B	40000	20	metastatic	yes	^hg19-	human	three_prime	ours			xeno_mets_human
xenograft	lung33	S0041	S0041/outs	NCHOS2	45000	20	metastatic	yes	^hg19-	human	three_prime	ours			xeno_mets_human
xenograft	lung34	S0055	S0055/outs	NCHOS7	50000	20	metastatic	yes	^hg19-	human	three_prime	ours			xeno_mets_human
xenograft	lung35	S0254	S0254	NCHOS4	75000	20	metastatic	yes	^hg19-	human	three_prime	ours			xeno_mets_human
xenograft	tibia36	S0034	S0034/outs	NCHOS7	40000	15	primary	yes	^mm10-	mouse	three_prime	ours			xeno_prim_mouse
xenograft	tibia37	S0037	S0037	OS17	75000	20	primary	yes	^mm10-	mouse	three_prime	ours			xeno_prim_mouse
xenograft	tibia38	S0052	S0052/outs	143B	40000	20	primary	yes	^mm10-	mouse	three_prime	ours			xeno_prim_mouse
xenograft	tibia39	S0042	S0042/outs	NCHOS2	40000	20	primary	yes	^mm10-	mouse	three_prime	ours			xeno_prim_mouse
xenograft	tibia40	S0170	S0170	NCHOS4	35000	20	primary	yes	^mm10-	mouse	multiomic	ours			xeno_prim_mouse
xenograft	tibia41	S0169	S0169	NCHOS7	30000	20	primary	yes	^mm10-	mouse	multiomic	ours			xeno_prim_mouse
xenograft	lung42	S0093	S0093	OS17	40000	20	metastatic	yes	^mm10-	mouse	three_prime	ours			xeno_mets_mouse
xenograft	lung43	S0017	S0017/outs	143B	60000	18	metastatic	yes	^mm10-	mouse	three_prime	ours			xeno_mets_mouse
xenograft	lung44	S0019	S0019/outs	143B	40000	20	metastatic	yes	^mm10-	mouse	three_prime	ours			xeno_mets_mouse
xenograft	lung45	S0041	S0041/outs	NCHOS2	45000	20	metastatic	yes	^mm10-	mouse	three_prime	ours			xeno_mets_mouse
xenograft	lung46	S0055	S0055/outs	NCHOS7	50000	20	metastatic	yes	^mm10-	mouse	three_prime	ours			xeno_mets_mouse
xenograft	lung47	S0254	S0254	NCHOS4	30000	15	metastatic	yes	^mm10-	mouse	three_prime	ours			xeno_mets_mouse
mousemodel	tibia48	S0104	S0104	F420	50000	15	primary	yes	nothing	mouse	three_prime	ours			mm_prim
mousemodel	tibia49	S0105	S0105	K7M2	45000	15	primary	yes	nothing	mouse	three_prime	ours			mm_prim
mousemodel	lung50	S0246	S0246	F420	20000	15	metastatic	yes	nothing	mouse	three_prime	ours			mm_mets
mousemodel	lung51	S0122	S0122	K7M2	55000	20	metastatic	yes	nothing	mouse	three_prime	ours			mm_mets
